# Isotropic inextensible parameters P ~ 480 Ang

   CG     CA     TA     AG     GG     AA     GA     AT     AC     GC     ZZ     ZA     ZT     ZG     ZC     AZ     TZ     GZ     CZ
 0.0427  0.0427 0.0427  0.0427 0.0427  0.0427 0.0427  0.0427 0.0427  0.0356 0.0427 0.0427 0.001  0.0427 0.0427  0.0427 0.0010  0.0427 0.0427
 0.0427  0.0427 0.0427  0.0427 0.0427  0.0427  0.0427 0.0427  0.0427  0.0356  0.0427  0.0427 0.001  0.0427 0.0427  0.0427 0.001  0.0427 0.0427  
 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597  0.0597 0.06 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597 0.0597 
 50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0   50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0 
 50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0 
 50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0  50.0    50.0 
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  
  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000  0.000  0.000  

